team,position,points,goals_for,goals_against,league_id,league_name,season
Palmeiras,2,76,66,33,71,Brazil,2025
Cruzeiro,3,70,55,31,71,Brazil,2025
Mirassol,4,67,63,39,71,Brazil,2025
Fluminense,5,64,50,39,71,Brazil,2025
Botafogo,6,63,58,38,71,Brazil,2025
Bahia,7,60,50,46,71,Brazil,2025
Sao Paulo,8,51,43,47,71,Brazil,2025
Gremio,9,49,47,50,71,Brazil,2025
RB Bragantino,10,48,45,57,71,Brazil,2025
Atletico-MG,11,48,43,44,71,Brazil,2025
Santos,12,47,45,50,71,Brazil,2025
Corinthians,13,47,42,47,71,Brazil,2025
Vasco DA Gama,14,45,55,60,71,Brazil,2025
Vitoria,15,45,35,52,71,Brazil,2025
Internacional,16,44,44,57,71,Brazil,2025
Ceara,17,43,34,40,71,Brazil,2025
Fortaleza EC,18,43,43,58,71,Brazil,2025
Juventude,19,35,35,69,71,Brazil,2025
Sport Recife,20,17,28,75,71,Brazil,2025
Boca Juniors,1,29,28,12,128,Argentina,2025
Union Santa Fe,2,25,20,13,128,Argentina,2025
Racing Club,3,25,16,13,128,Argentina,2025
Central Cordoba de Santiago,4,24,17,11,128,Argentina,2025
Argentinos JRS,5,24,18,13,128,Argentina,2025
Barracas Central,6,23,19,17,128,Argentina,2025
Tigre,7,22,14,13,128,Argentina,2025
Estudiantes L.P.,8,21,17,18,128,Argentina,2025
Banfield,9,21,15,21,128,Argentina,2025
Belgrano Cordoba,10,20,13,11,128,Argentina,2025
Huracan,11,20,10,15,128,Argentina,2025
Defensa Y Justicia,12,19,14,19,128,Argentina,2025
Aldosivi,13,18,13,18,128,Argentina,2025
Independ. Rivadavia,14,16,14,17,128,Argentina,2025
Newells Old Boys,15,14,13,23,128,Argentina,2025
Coquimbo Unido,1,75,49,17,265,Chile,2025
U. Catolica,2,58,44,26,265,Chile,2025
O'Higgins,3,56,43,34,265,Chile,2025
Universidad de Chile,4,55,58,32,265,Chile,2025
A. Italiano,5,52,51,43,265,Chile,2025
Palestino,6,49,42,31,265,Chile,2025
Cobresal,7,47,38,38,265,Chile,2025
Colo Colo,8,44,46,36,265,Chile,2025
Huachipato,9,43,43,42,265,Chile,2025
Nublense,10,33,31,40,265,Chile,2025
Deportes Limache,11,31,36,43,265,Chile,2025
Union La Calera,12,29,28,39,265,Chile,2025
D. La Serena,13,27,32,52,265,Chile,2025
Everton de Vina,14,26,27,44,265,Chile,2025
Deportes Iquique,15,24,34,60,265,Chile,2025
Union Espanola,16,21,33,58,265,Chile,2025
Independiente Medellin,1,40,46,28,239,Colombia,2025
Deportes Tolima,2,38,29,17,239,Colombia,2025
Atletico Nacional,3,37,38,24,239,Colombia,2025
Bucaramanga,4,37,31,20,239,Colombia,2025
Junior,5,35,35,25,239,Colombia,2025
Fortaleza FC,6,35,25,19,239,Colombia,2025
Santa Fe,7,31,21,17,239,Colombia,2025
America de Cali,8,29,23,19,239,Colombia,2025
Alianza Petrolera,9,29,24,22,239,Colombia,2025
Rionegro Aguilas,10,27,29,27,239,Colombia,2025
Once Caldas,11,27,21,24,239,Colombia,2025
Millonarios,12,26,23,26,239,Colombia,2025
Llaneros,13,25,17,25,239,Colombia,2025
Deportivo Cali,14,21,22,28,239,Colombia,2025
Union Magdalena,15,21,22,32,239,Colombia,2025
Envigado,16,20,18,22,239,Colombia,2025
Deportivo Pasto,17,19,26,28,239,Colombia,2025
Deportivo Pereira,18,18,19,36,239,Colombia,2025
Chico,19,16,14,29,239,Colombia,2025
La Equidad,20,14,14,29,239,Colombia,2025
Kashima,1,76,58,31,98,Japan,2025
Kashiwa Reysol,2,75,60,34,98,Japan,2025
Kyoto Sanga,3,68,62,40,98,Japan,2025
Sanfrecce Hiroshima,4,68,46,28,98,Japan,2025
Vissel Kobe,5,64,46,33,98,Japan,2025
Machida Zelvia,6,60,52,38,98,Japan,2025
Urawa,7,59,45,39,98,Japan,2025
Kawasaki Frontale,8,57,67,57,98,Japan,2025
Gamba Osaka,9,57,53,55,98,Japan,2025
Cerezo Osaka,10,52,60,57,98,Japan,2025
FC Tokyo,11,50,41,48,98,Japan,2025
Avispa Fukuoka,12,48,34,38,98,Japan,2025
Fagiano Okayama,13,45,34,43,98,Japan,2025
Shimizu S-pulse,14,44,41,51,98,Japan,2025
Yokohama F. Marinos,15,43,46,47,98,Japan,2025
Nagoya Grampus,16,43,44,56,98,Japan,2025
Tokyo Verdy,17,43,23,41,98,Japan,2025
Yokohama FC,18,35,27,45,98,Japan,2025
Shonan Bellmare,19,32,36,63,98,Japan,2025
Albirex Niigata,20,24,36,67,98,Japan,2025
Jeonbuk Motors,1,79,64,32,292,Korea,2025
Daejeon Citizen,2,65,58,46,292,Korea,2025
Gimcheon Sangmu FC,3,61,59,45,292,Korea,2025
Pohang Steelers,4,56,41,46,292,Korea,2025
Gangwon FC,5,52,37,41,292,Korea,2025
FC Seoul,6,49,50,52,292,Korea,2025
Newcastle Jets,1,43,48,36,188,Australia,2025
Auckland,2,40,38,24,188,Australia,2025
Adelaide United,3,36,40,33,188,Australia,2025
Melbourne Victory,4,35,38,29,188,Australia,2025
Sydney,5,34,29,23,188,Australia,2025
Macarthur,6,31,31,38,188,Australia,2025
Wellington Phoenix,7,30,34,41,188,Australia,2025
Melbourne City,8,29,25,28,188,Australia,2025
Central Coast Mariners,9,28,31,34,188,Australia,2025
Brisbane Roar,10,25,22,29,188,Australia,2025
Perth Glory,11,24,27,37,188,Australia,2025
Western Sydney Wanderers,12,21,26,37,188,Australia,2025
