HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Mechelen,Club Brugge,2,1,3.7,3.8,1.85,9,20,5,6,2,3,1,1,2
Leganes,La Coruna,2,2,2.05,3.1,3.75,18,13,7,6,4,3,1,1,1
Huesca,Eibar,2,1,2.55,3.0,2.85,11,13,4,3,5,6,1,1,2
QPR,Oxford,0,0,2.01,3.4,3.5,13,9,1,0,9,1,0,0,1
Portsmouth,Watford,2,2,2.1,3.4,3.25,15,12,5,6,3,3,1,1,1
Carrarese,Modena,0,0,2.82,3.1,2.55,14,10,3,0,4,6,0,0,1
Empoli,Monza,1,1,2.82,3.1,2.55,12,16,5,3,4,4,0,1,1
Pescara,Sudtirol,1,1,2.82,3.1,2.45,9,13,2,6,5,2,0,1,1
Sampdoria,Catanzaro,0,0,2.1,3.25,3.4,11,16,3,7,3,5,0,0,1
Millwall,Coventry,0,4,3.0,3.3,2.3,13,13,3,5,3,3,1,0,0
Norwich,West Brom,0,1,2.7,3.4,2.5,16,5,5,1,4,3,0,0,0
Oxford,Millwall,2,2,2.7,3.3,2.45,14,11,6,4,5,8,1,1,1
RB Leipzig,Stuttgart,3,1,1.95,3.9,3.5,16,14,9,4,5,5,1,1,2
Almeria,Eibar,3,1,1.68,3.6,4.75,11,12,5,5,3,7,1,1,2
Heidenheim,Ein Frankfurt,1,1,3.6,4.0,1.9,9,16,4,3,2,8,0,1,1
Charlton,Swansea,1,1,2.01,3.5,3.5,11,11,4,2,4,7,0,1,1
West Brom,Sheffield Weds,0,0,1.46,4.33,6.0,13,5,6,2,8,3,0,0,1
Birmingham,Portsmouth,4,0,1.76,3.6,4.5,19,5,7,0,9,5,1,0,2
Mainz,Werder Bremen,1,1,1.95,3.9,3.5,10,5,5,3,2,0,0,1,1
Udinese,Atalanta,1,0,4.5,3.6,1.8,11,5,5,0,5,4,0,0,2
Fulham,Wolves,3,0,1.83,3.5,4.5,19,5,6,2,10,1,1,0,2
Telstar,Excelsior,2,2,2.25,3.6,2.9,17,21,8,8,3,5,1,1,1
Feyenoord,Volendam,3,1,1.11,9.0,21.0,37,9,9,1,10,1,1,1,2
NAC Breda,Go Ahead Eagles,1,0,2.35,3.6,2.8,8,7,2,2,2,2,0,0,2
Ajax,Heerenveen,1,1,1.57,4.5,5.0,9,17,2,7,5,4,0,1,1
Napoli,Como,0,0,1.95,3.1,4.5,13,13,8,2,4,2,0,0,1
Darmstadt,Bielefeld,2,2,1.85,4.1,3.5,19,10,8,3,9,9,1,1,1
Nurnberg,Braunschweig,2,1,1.73,3.8,4.5,5,12,2,4,1,9,1,1,2
Karlsruhe,Schalke 04,2,1,2.8,3.1,2.6,8,11,3,4,2,7,1,1,2
Hertha,Dresden,2,0,1.95,3.4,3.9,11,13,6,4,3,5,0,0,2
Liverpool,Aston Villa,2,0,1.65,4.33,4.5,16,10,4,3,1,4,0,0,2
Watford,Middlesbrough,3,0,2.65,3.4,2.45,9,14,4,4,1,7,1,0,2
Stoke,Bristol City,5,1,2.32,3.3,2.85,13,16,8,5,4,10,1,1,2
Cremonese,Juventus,1,2,6.5,4.33,1.5,9,15,2,5,2,3,1,1,0
Falkirk,Kilmarnock,3,1,2.01,3.6,3.25,12,9,7,5,2,6,1,1,2
Southampton,Preston,0,2,1.68,3.9,4.33,10,12,2,3,8,2,0,0,0
Sheffield United,Derby,1,3,1.76,3.5,4.33,15,12,5,4,9,4,1,1,0
Hearts,Dundee,4,0,1.25,5.25,10.0,17,5,10,0,6,2,1,0,2
Livingston,Hibernian,2,2,3.8,3.6,1.86,10,7,5,5,6,1,1,1,1
Tottenham,Chelsea,0,1,2.7,3.5,2.5,3,15,1,9,6,5,0,0,0
Udinese,Atalanta,1,0,4.5,3.6,1.8,11,5,5,0,5,4,0,0,2
Napoli,Como,0,0,1.95,3.1,4.5,13,13,8,2,4,2,0,0,1
Cremonese,Juventus,1,2,6.5,4.33,1.5,9,15,2,5,2,3,1,1,0
Nott'm Forest,Man United,2,2,3.3,3.75,2.05,17,18,3,7,8,5,1,1,1
QPR,Ipswich,1,4,3.5,3.5,2.01,12,12,5,7,3,2,1,1,0
St Pauli,M'gladbach,0,4,2.15,3.5,3.3,16,15,4,11,8,1,1,0,0
Leicester,Blackburn,0,2,1.76,3.9,4.0,12,9,1,5,7,4,0,0,0
Reims,Dunkerque,1,2,2.1,3.2,3.6,10,5,4,4,3,0,1,1,0
Villarreal,Vallecano,4,0,1.7,3.8,5.0,16,13,7,3,3,5,1,0,2
Guimaraes,Benfica,0,3,6.0,4.75,1.42,10,24,3,10,3,6,1,0,0
Club Brugge,Dender,2,1,1.25,6.0,9.0,19,14,5,5,7,4,1,1,2
Anderlecht,Mechelen,3,1,1.6,4.0,5.0,19,7,7,1,9,2,1,1,2
Amiens,Grenoble,2,3,2.8,3.2,2.55,15,18,8,9,6,5,1,1,0
Palermo,Pescara,5,0,1.45,4.75,5.75,17,10,10,3,6,5,1,0,2
Waregem,St. Gilloise,1,4,4.33,4.1,1.67,10,20,3,9,2,5,1,1,0
Virtus Entella,Empoli,1,0,2.35,2.95,3.2,22,5,7,2,11,2,0,0,2
Carrarese,Frosinone,0,2,2.45,3.25,2.75,16,15,4,4,5,2,0,0,0
Real Madrid,Valencia,4,0,1.17,8.0,15.0,21,4,11,1,7,1,1,0,2
Sociedad,Ath Bilbao,3,2,2.7,3.0,2.8,9,11,5,4,6,2,1,1,2
Avellino,Reggiana,4,3,1.81,3.5,4.2,13,15,5,4,4,4,1,1,2
Union Berlin,Freiburg,0,0,2.5,3.3,2.75,11,13,2,4,5,5,0,0,1
Red Star,St Etienne,2,1,2.88,3.3,2.38,11,15,3,6,0,5,1,1,2
Padova,Sudtirol,1,1,2.4,2.95,3.05,11,14,2,5,1,8,0,1,1
Casa Pia,Estrela,3,5,2.01,3.05,3.9,10,12,4,6,5,2,1,1,0
Rio Ave,Estoril,0,4,2.35,3.2,2.95,2,24,0,6,0,6,1,0,0
Burnley,Arsenal,0,2,10.0,6.0,1.27,3,12,0,8,1,6,0,0,0
Bayern Munich,Leverkusen,3,0,1.22,7.0,9.5,18,7,4,1,10,4,1,0,2
Cultural Leonesa,Mirandes,3,2,1.96,3.2,3.9,18,11,7,6,6,2,1,1,2
Albacete,Huesca,2,1,2.01,3.2,3.75,14,20,6,4,7,7,1,1,2
Norwich,Hull,0,2,2.05,3.8,3.05,15,9,3,4,6,4,0,0,0
Nacional,Famalicao,0,1,3.2,3.25,2.2,8,20,3,4,3,10,0,0,0
Leganes,Burgos,1,2,2.01,3.05,4.0,13,6,3,2,9,4,1,1,0
Brighton,Leeds,3,0,1.85,3.75,4.0,14,5,7,2,4,7,1,0,2
Auxerre,Marseille,0,1,4.75,4.0,1.67,9,6,4,2,3,3,0,0,0
Monaco,Paris FC,0,1,1.67,4.33,4.33,10,9,1,1,3,2,0,0,0
Paris SG,Nice,1,0,1.25,6.0,10.0,28,5,8,2,11,1,0,0,2
Crystal Palace,Brentford,2,0,1.91,3.6,3.9,9,6,2,2,6,5,0,0,2
Ath Madrid,Sevilla,3,0,1.33,5.0,9.0,15,10,6,2,9,4,1,0,2
Bologna,Cremonese,1,3,1.48,4.0,8.0,29,10,7,5,13,8,1,1,0
Vallecano,Valencia,1,1,1.95,3.4,4.1,19,10,7,2,10,5,0,1,1
Arouca,Sp Braga,0,4,6.5,3.9,1.49,3,18,1,6,0,6,1,0,0
Birmingham,Watford,2,1,1.79,3.6,4.33,13,12,5,4,6,6,1,1,2
Bologna,Cremonese,1,3,1.48,4.0,8.0,29,10,7,5,13,8,1,1,0
Eibar,Mirandes,2,1,1.46,3.7,7.5,14,10,4,2,5,3,1,1,2
Toulouse,Lens,0,3,2.45,3.1,2.55,8,16,2,7,2,8,1,0,0
Gil Vicente,Sp Lisbon,1,1,7.0,4.1,1.42,19,14,9,4,8,7,0,1,1
Guimaraes,Nacional,2,1,1.81,3.3,4.5,9,14,4,4,2,3,1,1,2
Cagliari,Milan,0,1,6.0,3.9,1.6,6,11,1,4,6,7,0,0,0
Cagliari,Milan,0,1,6.0,3.9,1.6,6,11,1,4,6,7,0,0,0
Vallecano,Getafe,1,1,2.05,2.9,4.5,13,12,4,4,3,2,0,1,1
Mirandes,Malaga,2,1,3.0,3.2,2.32,21,16,5,3,7,6,1,1,2
Udinese,Roma,1,0,4.33,3.4,1.91,8,10,4,3,4,7,0,0,2
Udinese,Roma,1,0,4.33,3.4,1.91,8,10,4,3,4,7,0,0,2
Sunderland,Burnley,3,0,1.8,3.5,4.75,14,5,5,0,1,2,1,0,2
Casa Pia,Porto,2,1,12.0,5.0,1.25,6,15,3,6,0,10,1,1,2
Mallorca,Sevilla,4,1,2.4,3.2,3.1,11,15,7,5,4,8,1,1,2
AVS,Sp Braga,0,4,8.5,4.5,1.35,8,10,3,8,1,4,1,0,0
Real Madrid,Getafe,0,1,1.3,5.5,10.0,18,9,7,3,10,2,0,0,0
Sp Gijon,Leganes,0,0,2.01,3.3,3.6,12,6,4,0,5,0,0,0,1
Cordoba,Andorra,1,4,1.71,3.9,4.2,13,13,4,8,9,3,1,1,0
Birmingham,Middlesbrough,1,3,2.4,3.6,2.57,11,10,7,3,6,2,1,1,0
Udinese,Fiorentina,3,0,3.25,3.2,2.35,10,10,7,0,5,2,1,0,2
Pisa,Bologna,0,1,4.2,3.2,2.0,6,8,3,1,7,4,0,0,0
Udinese,Fiorentina,3,0,3.25,3.2,2.35,10,10,7,0,5,2,1,0,2
