HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Stockport,Exeter,1,0,1.41,4.2,7.0,12,9,5,2,4,3,0,0,2
Wigan,Port Vale,1,0,2.5,3.05,2.75,10,13,4,2,4,7,0,0,2
Marseille,Le Havre,6,2,1.33,5.0,9.0,18,8,11,3,2,1,1,1,2
Karlsruhe,Kaiserslautern,2,3,2.5,3.5,2.63,18,12,10,4,7,1,1,1,0
Hibernian,Livingston,4,0,1.49,4.33,5.5,23,8,12,2,7,10,1,0,2
FC Koln,Augsburg,1,1,1.95,3.9,3.5,9,10,2,4,5,2,0,1,1
Brighton,Newcastle,2,1,2.63,3.4,2.6,13,16,5,3,8,4,1,1,2
Rangers,Dundee United,2,2,1.37,5.75,5.5,29,10,8,4,7,2,1,1,1
Sevilla,Mallorca,1,3,1.85,3.3,4.75,13,7,4,6,9,2,1,1,0
Barcelona,Girona,2,1,1.2,7.0,12.0,27,11,9,4,11,5,1,1,2
Villarreal,Betis,2,2,1.91,3.6,4.0,7,16,3,3,5,6,1,1,1
Ath Madrid,Osasuna,1,0,1.38,4.75,8.5,18,9,9,2,4,2,0,0,2
Burnley,Leeds,2,0,3.25,3.25,2.25,4,19,3,4,1,5,0,0,2
Sheffield United,Watford,1,0,1.91,3.3,3.9,18,13,6,1,7,3,0,0,2
Crystal Palace,Bournemouth,3,3,2.2,3.4,3.25,20,8,7,5,6,5,1,1,1
Bochum,Hertha,3,2,2.35,3.4,2.9,10,13,3,6,1,6,1,1,2
Man City,Everton,2,0,1.4,5.0,7.0,19,5,7,1,11,3,0,0,2
Sunderland,Wolves,2,0,2.5,3.0,3.1,8,16,2,3,3,2,0,0,2
Heidenheim,Werder Bremen,2,2,2.88,3.5,2.35,31,11,11,4,12,2,1,1,1
Nott'm Forest,Chelsea,0,3,3.7,3.8,1.95,12,17,2,6,5,2,1,0,0
Nijmegen,Twente,3,3,2.35,3.8,2.7,8,9,4,3,3,3,1,1,1
PSV Eindhoven,Go Ahead Eagles,2,1,1.27,7.0,8.0,24,4,8,2,6,1,1,1,2
Utrecht,Volendam,3,1,1.36,5.25,8.0,22,3,6,3,10,0,1,1,2
Ajax,AZ Alkmaar,0,2,2.0,3.9,3.4,17,13,6,3,5,4,0,0,0
Preußen Münster,Dresden,2,2,2.3,3.7,2.8,12,14,3,6,4,3,1,1,1
Motherwell,Falkirk,1,2,1.86,3.7,3.75,15,9,5,5,6,4,1,1,0
Roma,Inter,0,1,3.3,3.25,2.25,15,12,5,3,4,5,0,0,0
Torino,Napoli,1,0,5.25,3.3,1.8,12,22,2,5,3,11,0,0,2
Pisa,Verona,0,0,2.55,3.1,2.9,7,15,0,3,3,8,0,0,1
Lecce,Sassuolo,0,0,2.9,3.2,2.5,11,9,2,2,6,4,0,0,1
Kilmarnock,Hearts,0,3,4.2,3.6,1.79,7,19,2,5,4,5,1,0,0
St Mirren,Aberdeen,0,1,2.32,3.25,2.85,9,17,1,4,5,2,0,0,0
Fulham,Arsenal,0,1,5.75,4.1,1.55,9,16,0,5,6,10,0,0,0
Stoke,Wrexham,1,0,1.91,3.5,3.75,12,5,3,3,6,4,0,0,2
Nice,Lyon,3,2,2.45,3.4,2.8,5,29,4,7,1,16,1,1,2
Leicester,Portsmouth,1,1,1.62,3.75,5.0,19,8,6,3,14,4,0,1,1
Pescara,Carrarese,2,2,3.3,2.95,2.3,16,11,8,3,10,4,1,1,1
Dunkerque,Montpellier,0,1,2.15,3.3,3.3,10,8,3,3,6,4,0,0,0
Laval,Red Star,0,1,2.5,3.1,2.75,9,10,1,3,6,5,0,0,0
St Etienne,Le Mans,2,3,1.53,4.2,5.0,12,14,4,7,4,3,1,1,0
RAAL La Louviere,Westerlo,0,0,2.55,3.4,2.63,8,7,1,0,2,2,0,0,1
Mantova,Sudtirol,1,1,2.57,3.25,2.57,25,7,8,1,5,2,0,1,1
Oud-Heverlee Leuven,Club Brugge,0,1,5.25,4.1,1.6,17,11,5,4,4,11,0,0,0
Reggiana,Bari,3,1,2.82,2.95,2.57,14,11,8,2,3,1,1,1,2
Blackpool,Wycombe,1,1,2.75,3.3,2.35,6,14,1,6,2,2,0,1,1
Lincoln,Stevenage,1,0,2.3,3.25,2.95,18,4,5,1,1,2,0,0,2
Spezia,Cesena,1,2,2.1,3.25,3.5,13,12,4,5,6,4,1,1,0
Burton,Peterboro,0,1,2.32,3.4,2.75,15,7,4,4,6,3,0,0,0
St. Gilloise,Charleroi,3,1,1.42,4.5,7.5,15,9,3,3,1,2,1,1,2
Zaragoza,Cultural Leonesa,0,5,1.62,3.5,5.5,9,20,2,13,3,5,1,0,0
Luton,Mansfield,0,2,1.57,3.9,5.0,16,10,4,4,5,1,0,0,0
Doncaster,Northampton,1,2,1.76,3.6,4.2,10,13,4,5,2,7,1,1,0
Lecce,Sassuolo,0,0,2.9,3.2,2.5,11,9,2,2,6,4,0,0,1
Ceuta,Mirandes,2,0,1.91,3.25,4.1,12,7,5,1,5,5,0,0,2
Cardiff,Reading,2,1,1.53,4.0,5.25,11,26,3,10,4,10,1,1,2
Pisa,Verona,0,0,2.55,3.1,2.9,7,15,0,3,3,8,0,0,1
Torino,Napoli,1,0,5.25,3.3,1.8,12,22,2,5,3,11,0,0,2
West Brom,Preston,2,1,1.76,3.5,4.5,16,17,6,5,8,4,1,1,2
Roma,Inter,0,1,3.3,3.25,2.25,15,12,5,3,4,5,0,0,0
Frosinone,Monza,0,1,2.57,3.2,2.7,15,20,2,9,5,2,0,0,0
Bradford,Barnsley,2,2,2.01,3.6,3.2,25,9,7,4,11,11,1,1,1
Juve Stabia,Avellino,2,0,2.01,3.05,3.9,11,11,3,2,6,3,0,0,2
Reading,Luton,3,2,2.65,3.4,2.4,6,11,4,4,0,5,1,1,2
Nancy,Guingamp,0,3,2.5,3.1,2.6,6,6,0,4,2,0,1,0,0
Lazio,Como,0,3,2.7,2.9,3.0,8,11,4,6,3,2,1,0,0
Cremonese,Verona,0,0,2.63,2.9,3.1,7,11,1,4,3,6,0,0,1
Brighton,Bournemouth,1,1,1.85,3.9,3.8,17,11,5,2,11,6,0,1,1
Elche,Sevilla,2,2,2.25,3.3,3.25,10,25,5,8,9,7,1,1,1
Estrela,Estoril,0,5,2.7,3.3,2.45,6,11,2,6,1,4,1,0,0
Granada,Eibar,0,0,2.25,3.0,3.4,16,4,3,0,6,2,0,0,1
Lazio,Como,0,3,2.7,2.9,3.0,8,11,4,6,3,2,1,0,0
Cremonese,Verona,0,0,2.63,2.9,3.1,7,11,1,4,3,6,0,0,1
Huddersfield,Doncaster,2,0,1.9,3.8,3.6,11,12,7,3,7,6,0,0,2
Wycombe,Exeter,0,1,1.65,4.0,4.75,19,6,8,1,6,7,0,0,0
Real Madrid,Osasuna,1,0,1.22,6.25,13.0,18,2,5,0,7,0,0,0,2
Luton,Wigan,1,0,1.6,3.75,5.5,13,9,4,3,8,4,0,0,2
Mansfield,Blackpool,2,0,2.55,3.3,2.63,15,6,6,1,4,0,0,0,2
Northampton,Lincoln,0,1,3.3,3.4,2.15,10,3,3,1,6,1,0,0,0
Peterboro,Barnsley,0,1,3.0,3.6,2.15,7,15,1,5,2,5,0,0,0
Plymouth,Leyton Orient,0,1,2.7,3.3,2.5,12,10,5,5,4,2,0,0,0
Port Vale,Stevenage,1,2,2.45,3.0,3.0,15,11,6,3,4,2,1,1,0
Stockport,Bradford,1,2,2.05,3.4,3.5,19,10,8,3,8,8,1,1,0
AFC Wimbledon,Cardiff,0,1,3.3,3.4,2.1,16,16,2,1,5,2,0,0,0
Sparta Rotterdam,Twente,1,5,2.8,3.4,2.45,7,23,2,11,1,6,1,1,0
Frosinone,Sudtirol,2,2,2.05,3.2,3.5,21,14,5,5,5,4,1,1,1
Palermo,Bari,2,0,1.62,3.5,5.75,24,8,9,0,6,1,0,0,2
Stuttgart,St Pauli,2,0,1.75,4.1,4.2,17,9,8,2,8,4,0,0,2
Bielefeld,Greuther Furth,1,3,1.75,3.6,4.5,15,11,5,7,6,3,1,1,0
Laval,Amiens,0,3,1.7,3.9,4.33,17,14,3,6,8,6,1,0,0
Dunkerque,Le Mans,2,2,2.05,3.3,3.5,14,8,5,5,7,3,1,1,1
Grenoble,Annecy,1,3,2.15,3.1,3.3,5,12,3,7,4,10,1,1,0
Lyon,Angers,1,0,1.44,4.33,7.0,16,10,5,2,7,4,0,0,2
Nancy,Red Star,0,1,2.4,3.2,2.9,4,15,0,6,3,4,0,0,0
Rodez,Clermont,0,1,2.1,3.4,3.3,20,7,3,3,7,2,0,0,0
Lecce,Cagliari,1,2,2.88,2.9,2.75,11,15,5,6,4,7,1,1,0
Middlesbrough,West Brom,2,1,2.1,3.4,3.3,9,15,4,3,2,3,1,1,2
Betis,Sociedad,3,1,1.91,3.6,3.75,21,11,6,5,3,5,1,1,2
Rio Ave,Porto,0,3,8.0,5.0,1.3,7,19,2,7,2,10,1,0,0
Boulogne,Pau FC,0,3,2.63,3.3,2.5,5,10,2,3,6,0,1,0,0
Kaiserslautern,Preußen Münster,4,1,2.3,3.3,3.1,15,14,6,6,4,0,1,1,2
La Coruna,Huesca,4,0,1.62,3.6,5.5,16,6,6,0,6,3,1,0,2
Lecce,Cagliari,1,2,2.88,2.9,2.75,11,15,5,6,4,7,1,1,0
Gent,Dender,3,0,1.73,3.9,4.2,15,15,3,4,2,5,1,0,2
Valladolid,Sp Gijon,2,3,1.91,3.2,4.2,17,7,5,5,5,1,1,1,0
Cagliari,Bologna,0,2,3.6,3.3,2.1,4,10,3,7,2,7,0,0,0
Como,Juventus,2,0,2.88,3.25,2.5,12,15,6,3,4,1,0,0,2
Genoa,Parma,0,0,2.1,3.0,4.0,23,1,7,0,3,0,0,0,1
Atalanta,Lazio,0,0,1.73,4.0,4.5,16,4,6,1,7,1,0,0,1
Getafe,Real Madrid,0,1,8.0,4.33,1.42,7,23,1,10,1,4,0,0,0
Levante,Vallecano,0,3,2.88,3.25,2.5,17,10,4,5,11,4,1,0,0
Celta,Sociedad,1,1,2.1,3.4,3.5,4,17,1,7,1,10,0,1,1
Elche,Ath Bilbao,0,0,3.75,3.25,2.1,15,4,5,1,6,2,0,0,1
Milan,Fiorentina,2,1,1.5,4.33,6.5,14,5,4,1,1,3,1,1,2
Darmstadt,Magdeburg,0,0,1.8,3.6,4.5,11,13,6,2,1,5,0,0,1
Leganes,Malaga,2,0,1.86,3.25,4.2,15,14,8,5,7,5,0,0,2
Freiburg,Ein Frankfurt,2,2,2.5,3.5,2.7,12,8,5,3,3,1,1,1,1
Excelsior,For Sittard,1,0,2.3,3.4,3.1,11,15,5,6,4,2,0,0,2
Liverpool,Man United,1,2,1.6,4.5,5.0,19,12,6,4,9,4,1,1,0
Telstar,Heerenveen,2,3,2.7,3.5,2.5,18,15,6,7,6,11,1,1,0
Heracles,Feyenoord,0,7,7.0,5.5,1.36,4,19,0,12,2,8,1,0,0
Cercle Brugge,Genk,2,2,3.0,3.7,2.15,18,16,7,5,4,4,1,1,1
Palermo,Modena,1,1,2.05,3.2,3.6,10,17,2,5,3,5,0,1,1
Cordoba,Almeria,1,1,2.65,3.3,2.5,14,13,5,4,3,2,0,1,1
Dundee,Celtic,2,0,10.0,6.5,1.19,10,23,2,3,2,12,0,0,2
Castellon,Albacete,0,1,1.66,4.0,4.33,22,11,5,8,9,3,0,0,0
Santander,La Coruna,2,1,2.55,3.2,2.65,21,11,6,5,6,6,1,1,2
Elversberg,Greuther Furth,6,0,1.57,4.33,5.0,18,10,8,5,6,3,1,0,2
Nurnberg,Holstein Kiel,1,1,2.6,3.25,2.7,16,12,6,4,3,7,0,1,1
Dender,Mechelen,1,3,2.7,3.4,2.5,19,11,6,6,4,4,1,1,0
Groningen,Sparta Rotterdam,0,2,1.83,3.75,4.2,12,8,0,2,7,4,0,0,0
St Truiden,Anderlecht,2,2,2.9,3.5,2.3,15,11,3,4,5,6,1,1,1
Lens,Paris FC,2,1,1.85,3.75,4.0,11,9,3,3,11,3,1,1,2
Lorient,Brest,3,3,2.38,3.25,3.0,12,8,7,4,5,2,1,1,1
Cagliari,Bologna,0,2,3.6,3.3,2.1,4,10,3,7,2,7,0,0,0
Toulouse,Metz,4,0,1.6,3.8,6.0,16,2,7,2,5,1,1,0,2
Rennes,Auxerre,2,2,1.75,3.7,4.75,19,7,7,4,6,2,1,1,1
Catanzaro,Padova,0,1,2.15,3.2,3.4,19,10,3,5,8,4,0,0,0
Empoli,Venezia,1,1,2.75,3.05,2.55,9,16,7,4,5,6,0,1,1
Waregem,Gent,4,1,2.6,3.5,2.55,15,14,8,5,3,12,1,1,2
Como,Juventus,2,0,2.88,3.25,2.5,12,15,6,3,4,1,0,0,2
Milan,Fiorentina,2,1,1.5,4.33,6.5,14,5,4,1,1,3,1,1,2
Atalanta,Lazio,0,0,1.73,4.0,4.5,16,4,6,1,7,1,0,0,1
St Pauli,Hoffenheim,0,3,2.5,3.4,2.8,10,14,2,5,9,7,1,0,0
Genoa,Parma,0,0,2.1,3.0,4.0,23,1,7,0,3,0,0,0,1
Las Palmas,Eibar,3,1,1.91,2.95,4.5,11,9,9,2,1,5,1,1,2
Nantes,Lille,0,2,4.5,3.6,1.8,8,23,3,5,5,9,0,0,0
Tottenham,Aston Villa,1,2,2.05,3.5,3.5,9,8,3,2,6,6,1,1,0
Estoril,Sp Braga,1,0,5.25,4.0,1.53,13,12,7,5,9,5,0,0,2
Charleroi,Genk,2,2,2.88,3.1,2.35,17,9,6,6,8,1,1,1,1
Dortmund,M'gladbach,2,0,1.55,4.5,5.5,10,6,4,1,6,4,0,0,2
Paderborn,Darmstadt,2,2,2.1,3.5,3.25,18,9,7,2,7,3,1,1,1
Eibar,Valladolid,3,0,2.45,2.95,2.95,9,6,4,2,3,4,1,0,2
Bari,Catanzaro,1,2,2.95,2.95,2.5,9,12,3,4,3,9,1,1,0
Hertha,Bielefeld,1,1,1.95,3.5,3.9,10,11,2,6,3,4,0,1,1
Valencia,Mallorca,1,1,1.9,3.0,4.0,17,4,2,2,12,3,0,1,1
Northampton,AFC Wimbledon,3,1,2.2,3.05,3.3,12,15,3,6,4,1,1,1,2
Swansea,Wrexham,2,1,2.15,3.4,3.2,22,5,5,1,5,7,1,1,2
Coventry,Millwall,2,1,1.76,3.5,4.33,15,14,4,4,4,3,1,1,2
Livingston,St Mirren,1,1,2.82,3.4,2.32,11,11,4,5,3,4,0,1,1
Preston,Hull,0,3,2.25,3.2,3.2,17,17,5,9,6,6,1,0,0
Charlton,Derby,1,2,2.65,3.0,2.75,11,15,4,5,4,0,1,1,0
Sheffield Weds,Birmingham,0,2,6.5,4.2,1.45,7,22,1,7,3,11,0,0,0
Ipswich,Bristol City,2,0,1.62,3.75,5.0,11,8,3,3,9,2,0,0,2
Stevenage,Bolton,0,0,3.4,3.3,2.05,10,6,3,4,6,4,0,0,1
Oxford,QPR,0,0,2.45,3.2,2.75,9,14,1,2,2,6,0,0,1
Swansea,Blackburn,3,1,2.05,3.25,3.7,14,5,4,2,4,3,1,1,2
Wrexham,Leicester,1,1,2.2,3.5,3.1,16,5,3,4,3,1,0,1,1
West Brom,Norwich,0,5,1.96,3.5,3.6,13,9,2,7,10,2,1,0,0
For Sittard,Excelsior,2,1,2.25,3.6,3.1,16,10,6,4,5,3,1,1,2
Brest,Marseille,2,0,3.8,3.6,1.9,12,17,4,4,3,2,0,0,2
Greuther Furth,Bielefeld,2,1,3.8,3.75,1.9,5,15,3,3,0,10,1,1,2
Bochum,Nurnberg,1,1,2.1,3.5,3.3,8,9,3,4,3,3,0,1,1
Estrela,Tondela,0,2,2.5,3.2,2.7,15,11,3,5,5,3,0,0,0
Frosinone,Empoli,2,2,1.71,3.7,4.33,28,13,8,5,6,3,1,1,1
Sassuolo,Verona,3,0,1.75,3.3,5.25,8,12,4,1,6,5,1,0,2
Gent,Cercle Brugge,0,1,2.15,3.5,2.9,5,23,1,4,4,10,0,0,0
Mainz,Hamburg,1,1,2.1,3.4,3.5,17,14,3,5,7,2,0,1,1
Rodez,Montpellier,1,0,2.75,3.1,2.3,14,12,8,3,6,6,0,0,2
Nancy,Grenoble,0,0,1.95,3.0,3.5,16,9,2,2,12,3,0,0,1
Dunkerque,Bastia,1,1,2.0,3.0,3.6,8,13,2,5,3,5,0,1,1
Boulogne,Clermont,0,2,2.38,2.9,2.8,6,9,1,5,7,4,0,0,0
Blackburn,Preston,1,0,1.96,3.4,3.9,13,3,3,2,5,3,0,0,2
Annecy,Red Star,2,1,2.3,2.9,3.1,16,11,8,4,2,4,1,1,2
Ceuta,Granada,2,1,2.45,3.1,2.85,10,11,4,3,5,5,1,1,2
Sassuolo,Verona,3,0,1.75,3.3,5.25,8,12,4,1,6,5,1,0,2
Ath Bilbao,Elche,2,1,1.67,3.8,5.25,18,2,8,2,4,1,1,1,2
Preston,Stoke,3,1,2.45,3.25,2.75,13,13,3,2,7,9,1,1,2
Cagliari,Napoli,0,1,5.25,3.4,1.75,7,17,0,5,2,7,0,0,0
Genoa,Udinese,0,2,2.15,3.1,3.75,18,6,2,4,7,1,0,0,0
Villarreal,Sociedad,3,1,1.91,3.7,3.9,21,11,10,4,4,5,1,1,2
Laval,Grenoble,3,2,2.3,2.88,3.0,12,11,5,6,7,5,1,1,2
Pau FC,Montpellier,0,0,2.55,3.1,2.45,18,4,2,1,4,3,0,0,1
Rodez,Bastia,1,1,2.5,3.0,2.63,12,13,3,6,9,2,0,1,1
Karlsruhe,Greuther Furth,3,1,2.15,3.5,3.1,12,10,4,2,3,4,1,1,2
Clermont,Red Star,0,1,2.7,3.0,2.45,9,9,3,4,1,9,0,0,0
Boulogne,Nancy,0,0,2.25,3.0,3.0,4,12,1,3,2,6,0,0,1
Estrela,Casa Pia,4,0,2.4,3.1,3.1,23,8,8,2,6,1,1,0,2
Huesca,Almeria,1,3,3.3,3.25,2.05,14,12,4,8,4,5,1,1,0
Bournemouth,Man United,2,2,3.2,3.8,2.1,16,14,5,5,6,8,1,1,1
Lens,Angers,5,1,1.22,6.5,12.0,26,16,9,5,7,3,1,1,2
Genoa,Udinese,0,2,2.15,3.1,3.75,18,6,2,4,7,1,0,0,0
Hannover,Braunschweig,1,0,1.5,4.5,5.75,10,16,3,4,10,6,0,0,2
Cagliari,Napoli,0,1,5.25,3.4,1.75,7,17,0,5,2,7,0,0,0
Heracles,Excelsior,1,1,2.7,3.3,2.7,13,15,4,4,6,1,0,1,1
RB Leipzig,Hoffenheim,5,0,1.91,4.0,3.5,14,8,9,2,1,3,1,0,2
Amiens,Le Mans,3,4,3.4,3.1,1.95,9,18,5,8,1,7,1,1,0
Bolton,Reading,1,1,1.57,4.1,5.25,21,5,4,2,3,1,0,1,1
For Sittard,Utrecht,1,0,3.8,3.6,1.95,8,14,3,5,1,11,0,0,2
Groningen,Telstar,2,0,1.8,3.6,4.5,16,7,6,3,7,2,0,0,2
Udinese,Milan,0,3,4.33,3.6,1.83,10,13,4,6,1,4,1,0,0
Volendam,Excelsior,1,2,2.3,3.8,2.8,14,15,7,6,5,3,1,1,0
Verona,Juventus,1,1,6.5,3.9,1.55,14,10,4,4,5,3,0,1,1
Bologna,Genoa,2,1,1.83,3.2,5.25,14,7,6,4,8,2,1,1,2
NAC Breda,Heracles,2,1,2.0,3.6,3.6,17,14,4,5,10,4,1,1,2
Braunschweig,Elversberg,1,4,3.0,3.5,2.2,10,22,2,8,4,9,1,1,0
Magdeburg,Schalke 04,0,2,2.3,3.3,3.1,8,10,2,2,3,2,0,0,0
Nurnberg,Bochum,2,1,2.3,3.8,2.63,20,13,8,1,8,5,1,1,2
Lens,Lille,3,0,2.38,3.5,2.9,15,17,6,3,4,10,1,0,2
Hertha,Paderborn,0,2,2.55,3.6,2.45,9,17,3,6,7,4,0,0,0
Brest,Nice,4,1,2.63,3.5,2.6,11,21,5,4,2,7,1,1,2
Nantes,Rennes,2,2,3.5,3.4,2.1,16,8,4,4,4,4,1,1,1
Dundee,Livingston,3,2,2.57,3.7,2.4,11,10,4,6,8,3,1,1,2
Anderlecht,Antwerp,0,0,1.65,3.9,4.75,18,6,2,1,8,2,0,0,1
Oud-Heverlee Leuven,RAAL La Louviere,1,2,2.0,3.3,3.5,8,5,2,3,2,1,1,1,0
Charleroi,Waregem,1,2,1.75,3.75,4.0,9,19,2,4,6,11,1,1,0
Sheffield United,Charlton,0,1,1.76,3.6,4.33,13,13,1,4,6,1,0,0,0
Santa Clara,Alverca,2,1,1.66,3.1,6.25,14,3,6,3,7,0,1,1,2
Hull,Southampton,3,1,3.0,3.5,2.2,11,14,4,4,1,6,1,1,2
Norwich,Wrexham,2,3,1.71,3.8,4.33,14,11,5,8,2,3,1,1,0
Montpellier,Bastia,2,0,2.2,3.1,3.2,8,13,4,4,2,9,0,0,2
Portsmouth,Sheffield Weds,0,2,1.51,4.1,6.0,25,13,5,8,11,5,0,0,0
Reggiana,Catanzaro,2,2,2.35,3.2,3.0,12,18,4,4,3,3,1,1,1
Almeria,Sp Gijon,2,1,1.71,3.8,4.33,24,9,9,5,6,1,1,1,2
Leganes,Las Palmas,0,1,2.35,2.85,3.25,8,3,3,1,2,4,0,0,0
Reading,Leyton Orient,2,1,2.55,3.3,2.55,12,17,6,6,2,6,1,1,2
Port Vale,Mansfield,2,1,2.05,3.2,3.5,19,2,8,1,7,0,1,1,2
Andorra,Mirandes,1,1,1.81,3.5,4.1,18,7,6,2,8,4,0,1,1
Cultural Leonesa,Castellon,1,3,2.82,3.7,2.2,10,13,2,8,1,4,1,1,0
West Ham,Crystal Palace,1,2,2.88,3.5,2.38,8,18,3,3,8,8,1,1,0
Wolves,Leeds,1,3,2.7,3.2,2.75,16,6,6,4,4,0,1,1,0
Man United,Chelsea,2,1,2.6,3.8,2.45,11,5,4,1,5,5,1,1,2
Augsburg,Mainz,1,4,2.7,3.4,2.6,18,12,5,4,6,6,1,1,0
Hamburg,Heidenheim,2,1,2.05,3.6,3.5,22,20,9,8,1,12,1,1,2
Bolton,Wigan,4,1,1.68,3.6,4.75,13,9,7,1,4,16,1,1,2
Lincoln,Luton,3,1,3.5,3.2,2.05,15,13,6,2,2,7,1,1,2
Blackpool,Barnsley,1,0,2.4,3.5,2.55,10,10,3,1,7,3,0,0,2
Cardiff,Bradford,1,3,1.79,3.5,4.2,15,16,5,6,4,7,1,1,0
Bologna,Genoa,2,1,1.83,3.2,5.25,14,7,6,4,8,2,1,1,2
Verona,Juventus,1,1,6.5,3.9,1.55,14,10,4,4,5,3,0,1,1
Troyes,Guingamp,5,2,1.83,3.5,3.8,18,8,11,4,1,3,1,1,2
Udinese,Milan,0,3,4.33,3.6,1.83,10,13,4,6,1,4,1,0,0
Huddersfield,Burton,0,0,1.57,3.9,5.0,13,9,4,3,15,5,0,0,1
RB Leipzig,FC Koln,3,1,1.65,4.33,4.5,18,13,8,2,9,5,1,1,2
Werder Bremen,Freiburg,0,3,2.38,3.6,2.8,12,10,5,5,2,0,1,0,0
Plymouth,Peterboro,0,1,1.86,3.6,3.75,19,8,4,4,7,1,0,0,0
Fulham,Brentford,3,1,2.0,3.4,3.8,14,8,3,3,2,10,1,1,2
Hoffenheim,Bayern Munich,1,4,7.0,6.0,1.33,12,18,4,10,5,5,1,1,0
Doncaster,AFC Wimbledon,1,2,1.76,3.3,4.75,12,9,1,4,2,6,1,1,0
St Etienne,Reims,3,2,1.9,3.6,3.8,16,17,10,7,1,6,1,1,2
Rotherham,Stockport,0,1,3.3,3.5,2.01,7,11,1,5,1,4,0,0,0
Derby,Preston,0,1,2.3,3.1,3.1,7,10,2,6,3,4,0,0,0
Liverpool,Everton,2,1,1.45,4.75,6.5,11,9,3,2,5,4,1,1,2
Brighton,Tottenham,2,2,2.25,3.7,3.0,12,11,4,3,2,10,1,1,1
Nacional,Arouca,1,2,2.45,3.1,2.85,15,10,6,3,3,5,1,1,0
Real Madrid,Espanol,2,0,1.2,7.0,13.0,16,8,5,1,5,3,0,0,2
Girona,Levante,0,4,1.91,3.6,4.0,7,14,1,7,5,4,1,0,0
Birmingham,Swansea,1,0,1.81,3.3,4.5,23,9,7,2,7,2,0,0,2
Alaves,Sevilla,1,2,2.25,3.1,3.5,8,9,5,3,4,4,1,1,0
Leicester,Coventry,0,0,2.4,3.4,2.65,17,11,9,3,10,3,0,0,1
QPR,Stoke,1,0,2.65,3.2,2.55,14,7,7,1,3,6,0,0,2
Wycombe,Northampton,2,0,1.76,3.4,4.5,20,7,6,1,6,3,0,0,2
Stevenage,Exeter,2,1,1.76,3.4,4.5,17,12,5,6,6,3,1,1,2
Villarreal,Osasuna,2,1,1.55,4.33,5.5,26,6,8,3,7,0,1,1,2
Spezia,Juve Stabia,1,3,1.91,3.2,4.1,8,11,4,5,6,3,1,1,0
Mantova,Modena,1,3,2.82,3.2,2.4,12,22,5,5,4,10,1,1,0
Monza,Sampdoria,1,0,1.81,3.3,4.5,7,11,2,3,2,1,0,0,2
AVS,Benfica,0,3,15.0,6.5,1.15,8,19,1,6,2,1,1,0,0
Valencia,Ath Bilbao,2,0,3.0,3.0,2.55,13,11,5,5,5,6,0,0,2
Burnley,Nott'm Forest,1,1,3.4,3.3,2.2,12,17,5,8,4,5,0,1,1
Guimaraes,Sp Braga,1,1,2.85,3.3,2.35,11,17,3,5,3,5,0,1,1
Venezia,Cesena,1,2,1.86,3.4,4.1,17,13,3,6,2,3,1,1,0
West Ham,Brentford,0,2,2.5,3.25,2.88,7,22,1,7,6,10,0,0,0
Cremonese,Udinese,1,1,3.0,3.25,2.4,11,8,4,1,5,4,0,1,1
Alaves,Valencia,0,0,2.25,3.0,3.6,13,5,3,2,7,0,0,0,1
Cadiz,Burgos,1,3,2.1,2.95,3.8,9,13,3,4,1,4,1,1,0
Standard,Antwerp,1,0,1.95,3.5,3.8,11,16,4,3,4,5,0,0,2
Nancy,Amiens,0,1,1.7,3.6,4.75,23,5,3,3,7,4,0,0,0
Cremonese,Udinese,1,1,3.0,3.25,2.4,11,8,4,1,5,4,0,1,1
Peterboro,Stockport,3,0,3.05,3.5,2.1,11,11,5,5,3,6,1,0,2
Brighton,Sunderland,0,0,1.67,4.0,5.25,16,14,4,6,3,4,0,0,1
Bournemouth,Burnley,1,1,1.48,4.33,6.5,16,4,1,1,5,3,0,1,1
Wolves,Brentford,0,2,3.5,3.6,2.05,9,7,2,6,3,4,0,0,0
Blackburn,Millwall,2,0,2.1,3.3,3.4,11,10,5,3,3,6,0,0,2
Cesena,Juve Stabia,1,1,2.01,3.05,4.1,8,9,4,4,1,5,0,1,1
Tottenham,Liverpool,1,2,3.5,3.75,2.0,15,8,4,4,2,6,1,1,0
Everton,Arsenal,0,1,5.75,4.1,1.57,5,13,1,2,2,3,0,0,0
Leeds,Crystal Palace,4,1,2.6,3.3,2.75,20,9,8,3,9,5,1,1,2
Estrela,Moreirense,0,0,2.35,3.25,2.85,13,16,3,7,3,7,0,0,1
Newcastle,Chelsea,2,2,2.75,3.6,2.45,11,13,5,4,6,4,1,1,1
Man City,West Ham,3,0,1.22,8.0,10.0,17,7,8,3,6,0,1,0,2
Preston,Norwich,1,1,2.15,3.5,3.05,11,8,4,1,4,3,0,1,1
Leganes,Sp Gijon,0,1,2.15,3.05,3.5,11,11,4,5,6,7,0,0,0
Huesca,Santander,1,1,2.95,3.2,2.35,15,10,3,3,8,3,0,1,1
Andorra,La Coruna,1,0,2.75,3.3,2.45,12,10,4,1,1,4,0,0,2
QPR,Leicester,4,1,2.3,3.4,2.85,12,9,6,2,2,3,1,1,2
Southampton,Coventry,1,1,2.4,3.7,2.57,23,8,7,4,7,2,0,1,1
Bristol City,Middlesbrough,2,0,2.65,3.4,2.45,13,28,8,3,3,13,0,0,2
